2019-05-14 22:29:55 | DEBUG | Base_Logging | conditional_write | Verified Style Element is present in the top wear page
2019-05-14 22:29:56 | INFO | Base_Logging | log_result | PASS: Verified Style Element is present in the top wear page
2019-05-14 22:29:56 | INFO | Base_Logging | ui_top_wear_page | Script duration: 20 seconds

2019-05-14 22:30:06 | DEBUG | Base_Logging | conditional_write | Clicked on Style Element in top wear page
2019-05-14 22:30:07 | INFO | Base_Logging | log_result | PASS: Clicked on Style Element in top wear page
2019-05-14 22:30:07 | INFO | Base_Logging | ui_top_wear_page | Script duration: 31 seconds

2019-05-14 22:30:08 | DEBUG | Base_Logging | conditional_write | Unable to find request that matches the condition
2019-05-14 22:30:09 | INFO | Base_Logging | log_result | PASS: find the request made to the get_product_meta
2019-05-14 22:30:09 | INFO | Base_Logging | ui_top_wear_page | Script duration: 33 seconds

2019-05-14 22:30:09 | INFO | Base_Logging | log_result | PASS: find the request method made to the get_product_meta
2019-05-14 22:30:09 | INFO | Base_Logging | ui_top_wear_page | Script duration: 33 seconds

2019-05-14 22:30:09 | INFO | Base_Logging | log_result | PASS: find the request hdeader host to the get_product_meta
2019-05-14 22:30:09 | INFO | Base_Logging | ui_top_wear_page | Script duration: 33 seconds

2019-05-14 22:30:11 | DEBUG | Base_Logging | conditional_write | Unable to get product id on Style Element in top wear page
2019-05-14 22:30:12 | DEBUG | Base_Logging | conditional_write | Unable to find client id in top wear page
2019-05-14 22:30:15 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:30:16 | INFO | Base_Logging | log_result | PASS: Verified the products names coming in the request are correctly populated in the carousel
2019-05-14 22:30:16 | INFO | Base_Logging | ui_top_wear_page | Script duration: 40 seconds

2019-05-14 22:30:16 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:30:17 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:30:17 | INFO | Base_Logging | ui_top_wear_page | Script duration: 41 seconds

2019-05-14 22:30:17 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:30:17 | INFO | Base_Logging | log_result | PASS: Verified the products links coming in the request are correctly populated in the carousel
2019-05-14 22:30:17 | INFO | Base_Logging | ui_top_wear_page | Script duration: 41 seconds

2019-05-14 22:30:22 | DEBUG | Base_Logging | conditional_write | Found links in top wear page - carousel
2019-05-14 22:30:25 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:30:26 | INFO | Base_Logging | log_result | PASS: Verified the products Names coming in the request are correctly populated in the carousel
2019-05-14 22:30:26 | INFO | Base_Logging | ui_top_wear_page | Script duration: 50 seconds

2019-05-14 22:30:26 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:30:26 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:30:26 | INFO | Base_Logging | ui_top_wear_page | Script duration: 50 seconds

2019-05-14 22:30:26 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:30:27 | INFO | Base_Logging | log_result | PASS: Verified the product's link coming in the request are correctly populated in the carousel
2019-05-14 22:30:27 | INFO | Base_Logging | ui_top_wear_page | Script duration: 51 seconds

2019-05-14 22:30:32 | DEBUG | Base_Logging | conditional_write | Clicked on productlinks in top wear page - carousel
2019-05-14 22:30:32 | DEBUG | Base_Logging | conditional_write | Automation switched to the browser window: None
2019-05-14 22:30:33 | INFO | Base_Logging | log_result | PASS: Verified after clicking on the recommended product populated in the carousel
2019-05-14 22:30:33 | INFO | Base_Logging | ui_top_wear_page | Script duration: 57 seconds

2019-05-14 22:30:35 | INFO | Base_Logging | write_test_summary | 

************************
--------RESULT--------
Total number of checks=12
2019-05-14 22:30:35 | INFO | Base_Logging | write_test_summary | Total number of checks passed=12
----------------------
************************


2019-05-14 22:30:35 | INFO | Base_Logging | write_test_summary | Total number of mini-checks=14
2019-05-14 22:30:35 | INFO | Base_Logging | write_test_summary | Total number of mini-checks passed=5
2019-05-14 22:30:35 | INFO | Base_Logging | write_test_summary | ************************
2019-05-14 22:35:28 | DEBUG | Base_Logging | conditional_write | Verified Style Element is present in the top wear page
2019-05-14 22:35:29 | INFO | Base_Logging | log_result | PASS: Verified Style Element is present in the top wear page
2019-05-14 22:35:29 | INFO | Base_Logging | ui_top_wear_page | Script duration: 21 seconds

2019-05-14 22:35:38 | DEBUG | Base_Logging | conditional_write | Clicked on Style Element in top wear page
2019-05-14 22:35:39 | INFO | Base_Logging | log_result | PASS: Clicked on Style Element in top wear page
2019-05-14 22:35:39 | INFO | Base_Logging | ui_top_wear_page | Script duration: 31 seconds

2019-05-14 22:35:40 | DEBUG | Base_Logging | conditional_write | Unable to find request that matches the condition
2019-05-14 22:35:41 | INFO | Base_Logging | log_result | PASS: find the request made to the get_product_meta
2019-05-14 22:35:41 | INFO | Base_Logging | ui_top_wear_page | Script duration: 33 seconds

2019-05-14 22:35:41 | INFO | Base_Logging | log_result | PASS: find the request method made to the get_product_meta
2019-05-14 22:35:41 | INFO | Base_Logging | ui_top_wear_page | Script duration: 33 seconds

2019-05-14 22:35:41 | INFO | Base_Logging | log_result | PASS: find the request hdeader host to the get_product_meta
2019-05-14 22:35:41 | INFO | Base_Logging | ui_top_wear_page | Script duration: 33 seconds

2019-05-14 22:35:42 | DEBUG | Base_Logging | conditional_write | Unable to get product id on Style Element in top wear page
2019-05-14 22:35:43 | DEBUG | Base_Logging | conditional_write | Unable to find client id in top wear page
2019-05-14 22:35:47 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:35:48 | INFO | Base_Logging | log_result | PASS: Verified the products names coming in the request are correctly populated in the carousel
2019-05-14 22:35:48 | INFO | Base_Logging | ui_top_wear_page | Script duration: 40 seconds

2019-05-14 22:35:48 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:35:49 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:35:49 | INFO | Base_Logging | ui_top_wear_page | Script duration: 41 seconds

2019-05-14 22:35:49 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:35:50 | INFO | Base_Logging | log_result | PASS: Verified the products links coming in the request are correctly populated in the carousel
2019-05-14 22:35:50 | INFO | Base_Logging | ui_top_wear_page | Script duration: 42 seconds

2019-05-14 22:35:54 | DEBUG | Base_Logging | conditional_write | Found links in top wear page - carousel
2019-05-14 22:35:57 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:35:58 | INFO | Base_Logging | log_result | PASS: Verified the products Names coming in the request are correctly populated in the carousel
2019-05-14 22:35:58 | INFO | Base_Logging | ui_top_wear_page | Script duration: 50 seconds

2019-05-14 22:35:58 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:35:59 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:35:59 | INFO | Base_Logging | ui_top_wear_page | Script duration: 51 seconds

2019-05-14 22:35:59 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:36:00 | INFO | Base_Logging | log_result | PASS: Verified the product's link coming in the request are correctly populated in the carousel
2019-05-14 22:36:00 | INFO | Base_Logging | ui_top_wear_page | Script duration: 52 seconds

2019-05-14 22:36:04 | DEBUG | Base_Logging | conditional_write | Clicked on productlinks in top wear page - carousel
2019-05-14 22:36:05 | DEBUG | Base_Logging | conditional_write | Automation switched to the browser window: None
2019-05-14 22:36:05 | INFO | Base_Logging | log_result | PASS: Verified after clicking on the recommended product populated in the carousel
2019-05-14 22:36:05 | INFO | Base_Logging | ui_top_wear_page | Script duration: 57 seconds

2019-05-14 22:36:06 | INFO | Base_Logging | write_test_summary | 

************************
--------RESULT--------
Total number of checks=12
2019-05-14 22:36:06 | INFO | Base_Logging | write_test_summary | Total number of checks passed=12
----------------------
************************


2019-05-14 22:36:06 | INFO | Base_Logging | write_test_summary | Total number of mini-checks=14
2019-05-14 22:36:06 | INFO | Base_Logging | write_test_summary | Total number of mini-checks passed=5
2019-05-14 22:36:06 | INFO | Base_Logging | write_test_summary | ************************
2019-05-14 22:38:55 | DEBUG | Base_Logging | conditional_write | Verified Style Element is present in the top wear page
2019-05-14 22:38:55 | INFO | Base_Logging | log_result | PASS: Verified Style Element is present in the top wear page
2019-05-14 22:38:55 | INFO | Base_Logging | ui_top_wear_page | Script duration: 18 seconds

2019-05-14 22:39:05 | DEBUG | Base_Logging | conditional_write | Clicked on Style Element in top wear page
2019-05-14 22:39:06 | INFO | Base_Logging | log_result | PASS: Clicked on Style Element in top wear page
2019-05-14 22:39:06 | INFO | Base_Logging | ui_top_wear_page | Script duration: 29 seconds

2019-05-14 22:39:07 | DEBUG | Base_Logging | conditional_write | Unable to find request that matches the condition
2019-05-14 22:39:08 | INFO | Base_Logging | log_result | PASS: find the request made to the get_product_meta
2019-05-14 22:39:08 | INFO | Base_Logging | ui_top_wear_page | Script duration: 31 seconds

2019-05-14 22:39:08 | INFO | Base_Logging | log_result | PASS: find the request method made to the get_product_meta
2019-05-14 22:39:08 | INFO | Base_Logging | ui_top_wear_page | Script duration: 31 seconds

2019-05-14 22:39:08 | INFO | Base_Logging | log_result | PASS: find the request hdeader host to the get_product_meta
2019-05-14 22:39:08 | INFO | Base_Logging | ui_top_wear_page | Script duration: 31 seconds

2019-05-14 22:39:10 | DEBUG | Base_Logging | conditional_write | Unable to get product id on Style Element in top wear page
2019-05-14 22:39:11 | DEBUG | Base_Logging | conditional_write | Unable to find client id in top wear page
2019-05-14 22:39:15 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:39:15 | INFO | Base_Logging | log_result | PASS: Verified the products names coming in the request are correctly populated in the carousel
2019-05-14 22:39:15 | INFO | Base_Logging | ui_top_wear_page | Script duration: 38 seconds

2019-05-14 22:39:15 | DEBUG | Base_Logging | conditional_write | Unable to find recommended prices in top wear page - carousel
2019-05-14 22:39:16 | INFO | Base_Logging | log_result | PASS: Verified the products prices coming in the request are correctly populated in the carousel
2019-05-14 22:39:16 | INFO | Base_Logging | ui_top_wear_page | Script duration: 39 seconds

2019-05-14 22:39:16 | DEBUG | Base_Logging | conditional_write | Unable to find links in top wear page - carousel
2019-05-14 22:39:17 | INFO | Base_Logging | log_result | PASS: Verified the products links coming in the request are correctly populated in the carousel
2019-05-14 22:39:17 | INFO | Base_Logging | ui_top_wear_page | Script duration: 40 seconds

2019-05-14 22:39:21 | DEBUG | Base_Logging | conditional_write | Found links in top wear page - carousel
2019-05-14 22:39:25 | DEBUG | Base_Logging | conditional_write | Unable to find recommended names in top wear page - carousel
2019-05-14 22:39:26 | INFO | Base_Logging | log_result | PASS: Verified the products Names coming in the request are correctly populated in the carousel
